z,n,symbol,radius,unc_r,half_life,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
40,41,Zr,,,5.5,4,s,5.5,0.4,EC+B+,100,,ECP,0.12,0.02,,,,8395.1519,1.1385,80938245,99,-57524.418,92.218,N,1997,15-Aug-08,CORAL M. BAGLIN,10/18/2023
40,42,Zr,,,32,5,s,32,5,EC+B+,100,,,,,,,,8465.4666,0.0193,81931707.5,1.7,-63614.063,1.584,N,1982,1-Mar-19,J. K. TULI and  E. BROWNE,10/18/2023
40,43,Zr,,,42,2,s,42,2,EC+B+,100,,ECP,,,,,,8488.3997,0.0775,82929240.93,6.902,-65911.659,6.43,N,1974,31-Dec-14,E.A. MCCUTCHAN,10/18/2023
40,44,Zr,,,25.8,5,m,1548,30,EC+B+,100,,,,,,,,8549.0301,0.0655,83923325.66,5.903,-71421.692,5.499,N,1977,30-Sep-09,T. Kibedi and J. Timar,10/18/2023
40,45,Zr,,,7.86,4,m,471.6,2.4,EC+B+,100,,,,,,,,8564.0394,0.0756,84921443.2,6.902,-73175.196,6.43,N,1963,31-Dec-13,BALRAJ SINGH AND JUN CHEN,10/18/2023
40,46,Zr,,,16.5,1,h,59400,360,EC+B+,100,,,,,,,,8614.0523,0.0415,85916296.81,3.827,-77969.023,3.566,N,1951,30-Nov-14,ALEXANDRU NEGRET and  BALRAJ SINGH,10/18/2023
40,47,Zr,4.2789,0.003,1.68,1,h,6048,36,EC+B+,100,,,,,,,,8623.6545,0.0477,86914817.34,4.45,-79347.147,4.146,N,1948,27-Jul-15,T.D. Johnson and W.D. Kulp(a),10/18/2023
40,48,Zr,4.2787,0.0025,83.4,3,d,7205760,25920,EC,100,,,,,,,,8666.0339,0.0614,87910220.72,5.8,-83628.874,5.403,N,1951,1-Nov-13,E.A. McCutchan and A.A. Sonzogni,10/18/2023
40,49,Zr,4.2706,0.001,78.41,12,h,282276,432,EC+B+,100,,,,,,,,8673.3865,0.0312,88908879.75,2.983,-84877.974,2.78,N,1948,20-Oct-12,BALRAJ SINGH,10/18/2023
40,50,Zr,4.2694,0.001,STABLE,,,,,,,,,,,,,,8709.9699,0.0013,89904698.76,0.126,-88772.547,0.118,N,1924,1-Mar-20,S. K. Basu and  E.A. MCCUTCHAN,10/18/2023
40,51,Zr,4.2845,0.0013,STABLE,,,,,,,,,,,,,,8693.3149,0.0011,90905640.21,0.101,-87895.592,0.095,N,1934,1-Sep-13,Coral M. Baglin,10/18/2023
40,52,Zr,4.3057,0.0013,STABLE,,,,,,,,,,,,,,8692.6783,0.0011,91905035.34,0.101,-88459.024,0.094,N,1924,15-Sep-12,CORAL M. BAGLIN,10/18/2023
40,53,Zr,,,1.61E+06,5,Y,5.08067E+13,1.57785E+12,B-,100,,,,,,,,8671.6207,0.0049,92906470.66,0.489,-87122.028,0.456,N,1950,15-Dec-10,CORAL M. BAGLIN,10/18/2023
40,54,Zr,4.332,0.0013,STABLE,,,,,,,,,,,,,,8666.8016,0.0018,93906312.52,0.175,-87269.332,0.164,N,1924,1-Jan-06,D. Abriola(a) and  A.A. Sonzogni,10/18/2023
40,55,Zr,,,64.032,6,d,5532364.8,518.4,B-,100,,,,,,,,8643.5924,0.0092,94908040.28,0.933,-85659.94,0.869,N,1946,30-Jun-09,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,10/18/2023
40,56,Zr,4.3512,0.0015,2.00E+19,4,Y,6.31E+26,1.26E+26,,,,,,,,,,8635.3283,0.0012,95908277.62,0.122,-85438.86,0.114,N,1934,1-Apr-08,D. Abriola(a) and  A.A. Sonzogni,10/18/2023
40,57,Zr,4.3792,0.0136,16.749,8,h,60296.4,28.8,B-,100,,,,,,,,8603.7182,0.0013,96910963.8,0.13,-82936.693,0.121,N,1951,19-Nov-09,N. NICA,10/18/2023
40,58,Zr,4.4012,0.0164,30.7,4,s,30.7,0.4,B-,100,,,,,,,,8581.3984,0.0862,97912740.45,9.065,-81281.757,8.445,N,1967,15-Feb-20,Jun Chen and  Balraj Singh,10/18/2023
40,59,Zr,4.4156,0.0181,2.1,1,s,2.1,0.1,B-,100,,,,,,,,8539.225,0.1061,98916675.08,11.271,-77616.67,10.499,N,1970,1-Jul-17,E. BROWNE and  J. K. TULI,10/18/2023
40,60,Zr,4.4891,0.0289,7.1,4,s,7.1,0.4,B-,100,,,,,,,,8522.1066,0.0814,99918010.5,8.742,-76372.736,8.143,N,1970,31-Jan-21,Balraj Singh and Jun Chen,10/18/2023
40,61,Zr,4.5119,0.0318,2.3,1,s,2.3,0.1,B-,100,,,,,,,,8485.8439,0.0825,100921458.5,8.944,-73160.987,8.332,N,1972,1-Jul-06,JEAN BLACHOT,10/18/2023
40,62,Zr,4.5292,0.034,2.9,2,s,2.9,0.2,B-,100,,,,,,,,8466.294,0.0859,101923154.2,9.401,-71581.427,8.758,N,1970,31-Dec-08,D. DE FRENNE,10/18/2023
40,63,Zr,,,1.3,1,s,1.3,0.1,B-,100,,,,,,,,8425.8337,0.0895,102927204.1,9.9,-67808.993,9.223,N,1987,1-Mar-09,D. DE FRENNE,10/18/2023
40,64,Zr,,,1.2,3,s,1.2,0.3,B-,100,,,,,,,,8402.3159,0.0896,103929449.2,10,-65717.66,9.316,N,1990,30-Mar-07,JEAN BLACHOT,10/18/2023
40,65,Zr,,,0.66,5,s,0.66,0.05,B-,100,,B-N,2,,,,,8358.598,0.1153,104934021.8,13,-61458.274,12.11,N,1992,1-Apr-19,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,10/18/2023
40,66,Zr,,,180,9,ms,0.18,0.009,B-,100,,B-N,7,,,,,8330,2,105936930,215,-58749,200,Y,1994,10-Jun-15,BALRAJ SINGH,10/18/2023
40,67,Zr,,,146,4,ms,0.146,0.004,B-,100,,B-N,23,,,,,8284,3,106942007,322,-54020,300,Y,1994,10-Jun-15,BALRAJ SINGH,10/18/2023
40,68,Zr,,,77.4,22,ms,0.0774,0.0022,B-,100,,B-N,,,,,,8253,4,107945303,429,-50950,400,Y,1997,10-Jun-15,BALRAJ SINGH,10/18/2023
40,69,Zr,,,56,3,ms,0.056,0.003,B-,100,,,,,,,,8204,5,108950907,537,-45730,500,Y,1997,31-May-16,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,10/18/2023
40,70,Zr,,,37.5,20,ms,0.0375,0.002,B-,100,,B-2N,,,B-N,,,8171,5,109954675,537,-42220,500,Y,1997,1-Aug-11,G. G~URDAL and F.G. KONDEV,10/18/2023
40,71,Zr,,,24,50,ms,0.024,0.005,B-,100,,B-2N,,,B-N,,,8118,5,110960837,644,-36480,600,Y,2010,10-Jun-15,BALRAJ SINGH,10/18/2023
40,72,Zr,,,30,20,ms,0.03,0.02,B-,100,,B-2N,,,B-N,,,8081,6,111965196,751,-32420,700,Y,2010,1-Aug-14,S. LALKOVSKI and  F.G. KONDEV,10/18/2023
40,73,Zr,,,,,,,,B-,100,,B-N,,,B-2N,,,8027,3,112971723,322,-26340,300,Y,2018,31-Jan-21,BALRAJ SINGH,10/18/2023
40,74,Zr,,,,,,,,B-,100,,B-N,,,B-2N,,,,,,,,,,,31-Jan-21,BALRAJ SINGH,10/18/2023
41,40,Nb,,,200,,ns,0.0000002,,EC+B+,,,,,,,,,8248,5,80950230,429,-46360,400,Y,,15-Aug-08,CORAL M. BAGLIN,10/18/2023
41,41,Nb,,,50,6,ms,0.05,0.006,EC+B+,100,,ECP,,,,,,8312,4,81944380,322,-51810,300,Y,1992,1-Mar-19,J. K. TULI and  E. BROWNE,10/18/2023
41,42,Nb,,,3.9,2,s,3.9,0.2,EC+B+,100,,,,,,,,8378.9889,1.9528,82938150,174,-57612.91,162.08,N,1988,31-Dec-14,E.A. MCCUTCHAN,10/18/2023
41,43,Nb,,,9.8,9,s,9.8,0.9,EC+B+,100,,ECP,,,,,,8417.9563,0.0048,83934305.71,0.43,-61193.842,0.401,N,1977,30-Sep-09,D. Abriola and M. Galan,10/18/2023
41,44,Nb,,,20.5,12,s,20.5,1.2,EC+B+,100,,,,,,,,8473.7117,0.0482,84928845.84,4.4,-66279.684,4.099,N,1988,31-Dec-13,BALRAJ SINGH AND JUN CHEN,10/18/2023
41,45,Nb,,,88,1,s,88,1,EC+B+,100,,,,,,,,8502.2231,0.0639,85925781.54,5.903,-69134.061,5.499,N,1974,30-Nov-14,ALEXANDRU NEGRET and  BALRAJ SINGH,10/18/2023
41,46,Nb,,,3.7,1,m,222,6,EC+B+,100,,,,,,,,8551.7579,0.0782,86920692.47,7.302,-73874.493,6.802,N,1971,27-Jul-15,T.D. Johnson and W.D. Kulp(a),10/18/2023
41,47,Nb,,,14.5,11,m,870,6.6,EC+B+,100,,,,,,,,8572.4013,0.6569,87918226.48,62.059,-76171.555,57.808,N,1964,1-Nov-13,E.A. McCutchan and A.A. Sonzogni,10/18/2023
41,48,Nb,,,2.03,7,h,7308,252,EC+B+,100,,,,,,,,8616.8184,0.2655,88913444.7,25.367,-80625.755,23.63,N,1954,20-Oct-12,BALRAJ SINGH,10/18/2023
41,49,Nb,4.2891,0.004,14.6,5,h,52560,180,EC+B+,100,,,,,,,,8633.377,0.0369,89911259.2,3.561,-82661.531,3.317,N,1951,1-Mar-20,S. K. Basu and  E.A. MCCUTCHAN,10/18/2023
41,50,Nb,4.2878,0.004,6.80E+02,13,Y,21458709663,4102400377,EC+B+,100,,,,,,,,8670.8983,0.0322,90906990.26,3.14,-86638.028,2.926,N,1951,1-Sep-13,Coral M. Baglin,10/18/2023
41,51,Nb,4.3026,0.0043,3.47E+07,24,Y,1.09503E+15,7.57366E+13,EC+B+,100,,,,,,,,8662.3731,0.0194,91907188.58,1.915,-86453.29,1.784,N,1938,15-Sep-12,CORAL M. BAGLIN,10/18/2023
41,52,Nb,4.324,0.0017,STABLE,,,,,,,,,,,,,,8664.1849,0.016,92906373.17,1.599,-87212.84,1.49,N,1932,15-Dec-10,CORAL M. BAGLIN,10/18/2023
41,53,Nb,,,2.03E+04,16,Y,6.40606E+11,50491081559,B-,100,,,,,,,,8648.9014,0.0159,93907279,1.6,-86369.063,1.491,N,1938,1-Jan-06,D. Abriola(a) and  A.A. Sonzogni,10/18/2023
41,54,Nb,,,34.991,6,d,3023222.4,518.4,B-,100,,,,,,,,8647.2133,0.0054,94906831.11,0.545,-86786.272,0.508,N,1951,30-Jun-09,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,10/18/2023
41,55,Nb,,,23.35,5,h,84060,180,B-,100,,,,,,,,8628.8868,0.0015,95908101.59,0.157,-85602.83,0.147,N,1949,1-Apr-08,D. Abriola(a) and  A.A. Sonzogni,10/18/2023
41,56,Nb,,,72.1,7,m,4326,42,B-,100,,,,,,,,8623.1384,0.0438,96908101.62,4.556,-85602.797,4.244,N,1951,19-Nov-09,N. NICA,10/18/2023
41,57,Nb,,,2.86,6,s,2.86,0.06,B-,100,,,,,,,,8596.3016,0.051,97910332.65,5.369,-83524.612,5.001,N,1960,15-Feb-20,Jun Chen and  Balraj Singh,10/18/2023
41,58,Nb,4.4062,0.0125,15,2,s,15,0.2,B-,100,,,,,,,,8578.9859,0.1213,98911609.38,12.886,-82335.344,12.004,N,1950,1-Jul-17,E. BROWNE and  J. K. TULI,10/18/2023
41,59,Nb,,,1.4,2,s,1.4,0.2,B-,100,,,,,,,,8548.4683,0.0798,99914340.58,8.562,-79791.246,7.976,N,1967,31-Jan-21,Balraj Singh and Jun Chen,10/18/2023
41,60,Nb,4.4861,0.0203,7.1,3,s,7.1,0.3,B-,100,,,,,,,,8534.8355,0.0371,100915306.5,4.024,-78891.488,3.749,N,1970,1-Jul-06,JEAN BLACHOT,10/18/2023
41,61,Nb,,,4.3,4,s,4.3,0.4,B-,100,,,,,,,,8504.8675,0.0246,101918090.4,2.695,-76298.265,2.511,N,1972,31-Dec-08,D. DE FRENNE,10/18/2023
41,62,Nb,4.5097,0.0227,1.5,2,s,1.5,0.2,B-,100,,,,,,,,8488.332,0.0382,102919453.4,4.224,-75028.667,3.935,N,1971,1-Mar-09,D. DE FRENNE,10/18/2023
41,63,Nb,,,4.9,3,s,4.9,0.3,B-,100,,B-N,0.06,0.03,,,,8453.3832,0.0172,103922907.7,1.915,-71810.997,1.784,N,1976,30-Mar-07,JEAN BLACHOT,10/18/2023
41,64,Nb,,,2.91,5,s,2.91,0.05,B-,100,,B-N,1.7,0.9,,,,8431.6925,0.0384,104924942.6,4.324,-69915.547,4.028,N,1984,1-Apr-19,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,10/18/2023
41,65,Nb,,,1.02,5,s,1.02,0.05,B-,100,,B-N,4.5,0.3,,,,8393.2657,0.0134,105928928.5,1.52,-66202.678,1.416,N,1976,20-Jul-15,BALRAJ SINGH,10/18/2023
41,66,Nb,,,300,9,ms,0.3,0.009,B-,100,,,,,,,,8367.0898,0.075,106931589.7,8.612,-63723.805,8.023,N,1992,1-Mar-08,Jean Blachot,10/18/2023
41,67,Nb,,,198,6,ms,0.198,0.006,B-,100,,B-N,6.3,0.5,B-2N,,,8325.6604,0.0763,107936075.6,8.844,-59545.198,8.239,N,1994,20-Jul-15,BALRAJ SINGH,10/18/2023
41,68,Nb,,,108,5,ms,0.108,0.005,B-,100,,B-N,15,,,,,8297.1307,3.9524,108939141,462.5,-56689.8,430.816,N,1994,31-May-16,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,10/18/2023
41,69,Nb,,,82,4,ms,0.082,0.004,B-,100,,B-N,40,8,,,,8255.2607,7.6213,109943843,900,-52309.914,838.345,N,1994,1-Aug-11,G. G~URDAL and F.G. KONDEV,10/18/2023
41,70,Nb,,,54,2,ms,0.054,0.002,B-,100,,B-N,,,B-2N,,,8223,3,110947439,322,-48960,300,Y,1997,1-Feb-08,Jean Blachot,10/18/2023
41,71,Nb,,,33,3,ms,0.033,0.0075,B-,100,,,,,,,,8178,3,111952689,322,-44070,300,Y,1997,1-Aug-14,S. LALKOVSKI and  F.G. KONDEV,10/18/2023
41,72,Nb,,,32,4,ms,0.032,0.004,B-,100,,B-N,,,B-2N,,,8143,4,112956833,429,-40210,400,Y,1997,1-May-09,Jean Blachot,10/18/2023
41,73,Nb,,,17,5,ms,0.017,0.005,B-,100,,B-N,,,B-2N,,,8097,4,113962469,537,-34960,500,Y,2010,20-Jul-15,BALRAJ SINGH,10/18/2023
41,74,Nb,,,23,8,ms,0.023,0.008,B-,100,,B-N,,,B-2N,,,8061,4,114966849,537,-30880,500,Y,2010,31-May-15,BALRAJ SINGH,10/18/2023
41,75,Nb,,,,,,,,B-,100,,B-3N,,,B-2N,,,8012,3,115972914,322,-25230,300,Y,2018,31-Jan-21,BALRAJ SINGH,10/18/2023
41,76,Nb,,,,,,,,B-,100,,B-N,,,B-2N,,,,,,,,,,,31-Jan-21,BALRAJ SINGH,10/18/2023
42,39,Mo,,,450,,ns,0.00000045,,ECP,,,EC+B+,,,,,,8054,6,80966226,537,-31460,500,Y,2013,31-Mar-15,BALRAJ SINGH,10/18/2023
42,40,Mo,,,?,,,,,EC+B+,100,,ECP,,,,,,8163,5,81956661,429,-40370,400,Y,2013,1-Mar-19,J. K. TULI and  E. BROWNE,10/18/2023
42,41,Mo,,,6,27,ms,0.006,0.0165,EC+B+,100,,,,,,,,8234,5,82950252,430,-46340,401,Y,1999,31-Dec-14,E.A. MCCUTCHAN,10/18/2023
42,42,Mo,,,2.3,3,s,2.3,0.3,EC+B+,100,,ECP,,,,,,8325,4,83941846,320,-54170,298,Y,1991,30-Sep-09,B. Singh,10/18/2023
42,43,Mo,,,3.2,2,s,3.2,0.2,EC+B+,100,,ECP,0.14,0.02,,,,8361.332,0.1863,84938260.74,17,-57509.76,15.835,N,1992,31-Dec-13,BALRAJ SINGH AND JUN CHEN,10/18/2023
42,44,Mo,,,19.1,3,s,19.1,0.3,EC+B+,100,,,,,,,,8434.7175,0.0341,85931174.09,3.147,-64110.927,2.932,N,1991,30-Nov-14,ALEXANDRU NEGRET and  BALRAJ SINGH,10/18/2023
42,45,Mo,,,14.1,3,s,14.1,0.3,EC+B+,100,,B+P,15,8,,,,8462.4243,0.0328,86928196.2,3.067,-66884.817,2.857,N,1977,27-Jul-15,T.D. Johnson and W.D. Kulp(a),10/18/2023
42,46,Mo,,,8,2,m,480,12,EC+B+,100,,,,,,,,8523.9087,0.0434,87921967.78,4.1,-72686.553,3.819,N,1971,1-Nov-13,E.A. McCutchan and A.A. Sonzogni,10/18/2023
42,47,Mo,,,2.11,10,m,126.6,6,EC+B+,100,,,,,,,,8544.9851,0.044,88919468.15,4.2,-75014.944,3.912,N,1980,30-Nov-21,Balraj Singh,10/18/2023
42,48,Mo,4.3265,0.0016,5.56,9,h,20016,324,EC+B+,100,,,,,,,,8597.0285,0.0385,89913931.27,3.717,-80172.514,3.463,N,1953,1-Mar-20,S. K. Basu and  E.A. MCCUTCHAN,10/18/2023
42,49,Mo,4.3182,0.0012,15.49,1,m,929.4,0.6,EC+B+,100,,,,,,,,8613.6286,0.0686,90911745.19,6.696,-82208.834,6.238,N,1948,1-Sep-13,Coral M. Baglin,10/18/2023
42,50,Mo,4.3151,0.0012,STABLE,,,,,,,,,,,,,,8657.7312,0.0017,91906807.15,0.168,-86808.587,0.157,N,1930,15-Sep-12,CORAL M. BAGLIN,10/18/2023
42,51,Mo,,,4.00E+03,8,Y,1.26228E+11,25245540780,EC,100,,,,,,,,8651.4095,0.002,92906808.77,0.193,-86807.079,0.181,N,1946,15-Dec-10,CORAL M. BAGLIN,10/18/2023
42,52,Mo,4.3529,0.0013,STABLE,,,,,,,,,,,,,,8662.3341,0.0015,93905083.59,0.151,-88414.079,0.141,N,1930,1-Jan-06,D. Abriola(a) and  A.A. Sonzogni,10/18/2023
42,53,Mo,4.3628,0.0018,STABLE,,,,,,,,,,,,,,8648.7212,0.0013,94905837.44,0.132,-87711.872,0.123,N,1930,30-Jun-09,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,10/18/2023
42,54,Mo,4.3847,0.0015,STABLE,,,,,,,,,,,,,,8653.988,0.0013,95904674.77,0.128,-88794.889,0.12,N,1930,1-Apr-08,D. Abriola(a) and  A.A. Sonzogni,10/18/2023
42,55,Mo,4.388,0.0015,STABLE,,,,,,,,,,,,,,8635.0926,0.0017,96906016.9,0.176,-87544.7,0.165,N,1930,19-Nov-09,N. NICA,10/18/2023
42,56,Mo,4.4091,0.0018,STABLE,,,,,,,,,,,,,,8635.1691,0.0018,97905403.61,0.186,-88115.98,0.174,N,1930,15-Feb-20,Jun Chen and  Balraj Singh,10/18/2023
42,57,Mo,,,65.924,6,h,237326.4,21.6,B-,100,,,,,,,,8607.7982,0.0023,98907707.3,0.245,-85970.106,0.229,N,1948,1-Jul-17,E. BROWNE and  J. K. TULI,10/18/2023
42,58,Mo,4.4468,0.0025,7.01E+18,4,Y,2.21E+26,6.00E+24,2B-,100,,2B-,100,,,,,8604.6626,0.003,99907467.98,0.322,-86193.029,0.301,N,1930,31-Jan-21,Balraj Singh and Jun Chen,10/18/2023
42,59,Mo,,,14.61,3,m,876.6,1.8,B-,100,,,,,,,,8572.9159,0.0031,100910337.6,0.331,-83519.952,0.308,N,1941,1-Jul-06,JEAN BLACHOT,10/18/2023
42,60,Mo,4.4914,0.0038,11.3,2,m,678,12,B-,100,,,,,,,,8568.3994,0.0814,101910293.7,8.916,-83560.866,8.305,N,1954,31-Dec-08,D. DE FRENNE,10/18/2023
42,61,Mo,4.5145,0.0046,67.5,15,s,67.5,1.5,B-,100,,,,,,,,8538.2672,0.0895,102913092,9.9,-80954.331,9.223,N,1963,1-Mar-09,D. DE FRENNE,10/18/2023
42,62,Mo,4.5249,0.0051,60,2,s,60,2,B-,100,,,,,,,,8527.9063,0.0857,103913747.4,9.566,-80343.748,8.911,N,1962,30-Mar-07,JEAN BLACHOT,10/18/2023
42,63,Mo,4.5389,0.0057,36.3,8,s,36.3,0.8,B-,100,,,,,,,,8494.863,0.0862,104916982,9.721,-77330.788,9.055,N,1962,1-Apr-19,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,10/18/2023
42,64,Mo,4.549,0.0058,8.73,12,s,8.73,0.12,B-,100,,,,,,,,8479.5202,0.0861,105918273.2,9.801,-76128.003,9.13,N,1969,1-May-07,D. DE FRENNE AND A. NEGRET,10/18/2023
42,65,Mo,,,3.5,5,s,3.5,0.5,B-,100,,,,,,,,8442.219,0.0862,106922119.8,9.901,-72544.975,9.223,N,1972,1-Mar-08,Jean Blachot,10/18/2023
42,66,Mo,4.5602,0.0067,1.09,2,s,1.09,0.02,B-,100,,,,,,,,8422.1581,0.0854,107924047.5,9.901,-70749.297,9.223,N,1972,1-Jul-08,Jean Blachot,10/18/2023
42,67,Mo,,,0.61,-1,s,0.61,0.035,B-,100,,B-N,1.3,0.6,,,,8381.4163,0.1026,108928438.3,12,-66659.285,11.179,N,1992,31-May-16,S. KUMAR(a) and  J. CHEN(b) AND F.G. KONDEV,10/18/2023
42,68,Mo,,,0.296,17,s,0.296,0.017,B-,100,,B-N,2,0.7,,,,8359.293,0.2202,109930718,26,-64535.814,24.219,N,1992,1-Aug-11,G. G~URDAL and F.G. KONDEV,10/18/2023
42,69,Mo,,,186,9,ms,0.186,0.009,B-,100,,B-N,12,,,,,8315.2932,0.1133,110935652,13.503,-59939.813,12.578,N,1994,20-Jul-15,BALRAJ SINGH,10/18/2023
42,70,Mo,,,120,2,ms,0.12,0.012,B-,100,,,,,,,,8291,2,111938293,215,-57480,200,Y,1994,1-Aug-14,S. LALKOVSKI and  F.G. KONDEV,10/18/2023
42,71,Mo,,,80,2,ms,0.08,0.002,B-,100,,B-N,,,,,,8246,3,112943478,322,-52650,300,Y,1994,20-Jul-15,BALRAJ SINGH,10/18/2023
42,72,Mo,,,58,2,ms,0.058,0.002,B-,100,,B-N,,,,,,8219,3,113946666,322,-49680,300,Y,1997,20-Jul-15,BALRAJ SINGH,10/18/2023
42,73,Mo,,,45.5,20,ms,0.0455,0.002,B-,100,,B-N,,,B-2N,,,8173,3,114952174,429,-44550,400,Y,2010,20-Jul-15,BALRAJ SINGH,10/18/2023
42,74,Mo,,,32,4,ms,0.032,0.004,B-2N,,,B-,,,B-N,,,8143,4,115955759,537,-41210,500,Y,2010,20-Jul-15,BALRAJ SINGH,10/18/2023
42,75,Mo,,,22,5,ms,0.022,0.005,B-2N,,,B-N,,,B-,,,8096,4,116961686,537,-35689,500,Y,2010,20-Jul-15,BALRAJ SINGH,10/18/2023
42,76,Mo,,,19,3,ms,0.019,0.0055,B-,100,,B-2N,,,B-N,,,8067,4,117965249,537,-32370,500,Y,2015,14-Jan-22,BALRAJ SINGH,10/18/2023
42,77,Mo,,,,,,,,B-,100,,B-N,,,B-2N,,,8019,3,118971465,322,-26580,300,Y,2018,31-Jan-21,BALRAJ SINGH,10/18/2023
43,42,Tc,,,100,,ns,0.0000001,,P,,,,,,,,,8215,5,84950778,429,-45850,400,Y,,31-Dec-13,BALRAJ SINGH AND JUN CHEN,10/18/2023
43,43,Tc,,,55,7,ms,0.055,0.007,EC+B+,100,,ECP,,,,,,8280,3,85944637,322,-51570,300,Y,1992,30-Nov-14,ALEXANDRU NEGRET and  BALRAJ SINGH,10/18/2023
43,44,Tc,,,2.2,2,s,2.2,0.2,EC+B+,100,,,,,,,,8347.7449,0.0482,86938067.19,4.5,-57690.052,4.192,N,1991,27-Jul-15,T.D. Johnson and W.D. Kulp(a),10/18/2023
43,45,Tc,,,6.4,8,s,6.4,0.8,EC+B+,100,,ECP,,,,,,8389.8338,0.0466,87933794.21,4.4,-61670.301,4.099,N,1991,1-Nov-13,E.A. McCutchan and A.A. Sonzogni,10/18/2023
43,46,Tc,,,12.8,9,s,12.8,0.9,EC+B+,100,,,,,,,,8450.5758,0.0429,88927648.65,4.1,-67394.857,3.819,N,1991,30-Nov-21,Balraj Singh,10/18/2023
43,47,Tc,,,49.2,4,s,49.2,0.4,EC,100,,,,,,,,8483.36,0.0114,89924073.92,1.1,-70724.696,1.025,N,1974,1-Mar-20,S. K. Basu and  E.A. MCCUTCHAN,10/18/2023
43,48,Tc,,,3.14,2,m,188.4,1.2,EC+B+,100,,,,,,,,8536.6558,0.026,90918424.97,2.536,-75986.657,2.363,N,1974,1-Sep-13,Coral M. Baglin,10/18/2023
43,49,Tc,,,4.25,15,m,255,9,EC+B+,100,,,,,,,,8563.544,0.0337,91915269.78,3.33,-78925.703,3.102,N,1964,15-Sep-12,CORAL M. BAGLIN,10/18/2023
43,50,Tc,,,2.75,5,h,9900,180,EC+B+,100,,,,,,,,8608.5782,0.0109,92910245.15,1.086,-83606.116,1.012,N,1948,15-Dec-10,CORAL M. BAGLIN,10/18/2023
43,51,Tc,,,293,1,m,17580,60,EC+B+,100,,,,,,,,8608.7373,0.0433,93909652.32,4.37,-84158.332,4.071,N,1948,1-Jan-06,D. Abriola(a) and  A.A. Sonzogni,10/18/2023
43,52,Tc,,,20,1,h,72000,360,EC+B+,100,,,,,,,,8622.6911,0.0535,94907652.28,5.453,-86021.355,5.08,N,1947,30-Jun-09,S. K. Basu and  G. Mukherjee and  A. A. Sonzogni,10/18/2023
43,53,Tc,,,4.28,7,d,369792,6048,EC+B+,100,,,,,,,,8614.8673,0.0536,95907866.68,5.524,-85821.648,5.146,N,1947,1-Apr-08,D. Abriola(a) and  A.A. Sonzogni,10/18/2023
43,54,Tc,,,4.21E+06,16,Y,1.32855E+14,5.04911E+12,EC,100,,,,,,,,8623.7254,0.0425,96906360.72,4.42,-87224.436,4.118,N,1946,19-Nov-09,N. NICA,10/18/2023
43,55,Tc,,,4.20E+06,3,Y,1.32539E+14,9.46708E+12,B-,100,,,,,,,,8610.0047,0.0345,97907211.21,3.628,-86432.214,3.38,N,1955,15-Feb-20,Jun Chen and  Balraj Singh,10/18/2023
43,56,Tc,,,2.11E+05,12,Y,6.66167E+12,37868311170,B-,100,,,,,,,,8613.6105,0.0092,98906249.68,0.974,-87327.869,0.908,N,1938,1-Jul-17,E. BROWNE and  J. K. TULI,10/18/2023
43,57,Tc,,,15.65,12,s,15.65,0.12,B-,99.9974,0.0004,EC,0.0026,0.0004,,,,8595.1184,0.0135,99907652.72,1.45,-86020.951,1.351,N,1952,31-Jan-21,Balraj Singh and Jun Chen,10/18/2023
43,58,Tc,,,14.22,1,m,853.2,0.6,B-,100,,,,,,,,8593.1366,0.2377,100907305.3,25.768,-86344.593,24.004,N,1941,1-Jul-06,JEAN BLACHOT,10/18/2023
43,59,Tc,,,5.28,15,s,5.28,0.15,B-,100,,,,,,,,8570.6514,0.0899,101909207.2,9.84,-84572.921,9.166,N,1954,31-Dec-08,D. DE FRENNE,10/18/2023
43,60,Tc,,,54.2,8,s,54.2,0.8,B-,100,,,,,,,,8566.1045,0.0952,102909174,10.531,-84603.92,9.81,N,1957,1-Mar-09,D. DE FRENNE,10/18/2023
43,61,Tc,,,18.3,3,m,1098,18,B-,100,,,,,,,,8541.107,0.2393,103911433.7,26.716,-82498.969,24.886,N,1956,30-Mar-07,JEAN BLACHOT,10/18/2023
43,62,Tc,,,7.64,6,m,458.4,3.6,B-,100,,,,,,,,8534.6074,0.3358,104911662,37.856,-82286.303,35.263,N,1955,1-Apr-19,S. LALKOVSKI and  J. TIMAR and Z. ELEKES,10/18/2023
43,63,Tc,,,35.6,6,s,35.6,0.6,B-,100,,,,,,,,8506.557,0.1156,105914356.7,13.15,-79776.253,12.25,N,1965,1-May-07,D. DE FRENNE AND A. NEGRET,10/18/2023
